キャラクターID,名前,ファイル名,たいりょく,こうげき,まもり,はやさ,KP,習得スキルリスト,赤,緑,青
116,ブタ,,8,5,0,12,5,,255,255,255
117,ハブ,,22,2,0,12,5,,255,255,255
118,メガネカイマン,,25,4,0,12,5,,255,255,255
119,ナミチスイコウモリ,,7,1,0,12,5,,255,255,255
120,ヒツジ,,7,5,0,12,5,,255,255,255
121,オコジョ,,7,1,0,12,5,,255,255,255
122,オイナリサマ,,40,3,0,13,5,,255,255,255
123,ダチョウ,,20,5,0,13,5,,255,255,255
124,セイウチ,,35,7,0,12,5,,255,255,255
125,シロサイ,,42,7,1,12,5,,255,255,255
126,ディアトリマ,,20,5,0,12,5,,255,255,255
127,ヒマラヤタール,,18,4,0,12,5,,255,255,255
128,ウミウ,,10,2,0,12,5,,255,255,255
129,カワウ,,9,2,0,12,5,,255,255,255
130,デグー,,7,1,0,12,5,,255,255,255
131,オグロヌー,,24,5,0,13,5,,255,255,255
132,シャチ,,67,8,0,13,5,,255,255,255
133,シーサーレフティ,,30,3,0,13,5,,255,255,255
134,オセロット,,12,3,0,13,5,,255,255,255
135,ヒゲペンギン,,8,2,0,12,5,,255,255,255
136,ツンドラオオカミ,,14,3,0,13,5,,255,255,255
137,クビワペッカリー,,10,3,0,12,5,,255,255,255
138,シーサー・ライト,,30,3,0,13,5,,255,255,255
139,ニホンツキノワグマ,,15,5,0,13,5,,255,255,255
140,アクシスジカ,,15,4,0,12,5,,255,255,255
141,カリフォルニアラッコ,,13,3,0,12,5,,255,255,255
142,ラーテル,,8,3,0,13,5,,255,255,255
143,ノドクロミツオシエ,,7,1,0,12,5,,255,255,255
144,ジャック・オー・ランタン,,7,3,0,12,5,,255,255,255
145,クロトキ,,9,2,0,12,5,,255,255,255
146,アフリカタテガミヤマアラシ,,9,3,0,12,5,,255,255,255
147,ヨーロッパビーバー,,10,3,0,12,5,,255,255,255
148,マヌルネコ,,7,2,1,12,5,,255,255,255
149,ビャッコ,,87,6,0,14,5,,255,255,255
150,トド,,33,7,0,11,5,,255,255,255
151,オーロックス,,31,6,0,13,5,,255,255,255
152,バイソン,,46,7,0,13,5,,255,255,255
153,ゲンブ,,99,7,0,13,5,,255,255,255
154,ホワイトカリブ,,22,5,0,12,5,,255,255,255
155,ホワイトタイガー,,30,5,0,13,5,,255,255,255
156,チンチラ,,7,1,0,12,5,,255,255,255
157,オオタカ,,7,2,0,14,5,,255,255,255
158,セイリュウ,,105,7,1,12,5,,255,255,255
159,コウノトリ,,12,2,0,12,5,,255,255,255
160,ウミネコ,,7,1,0,12,5,,255,255,255
161,ドール,,12,3,0,13,5,,255,255,255
162,ブラックジャガー,,27,5,0,13,5,,255,255,255
163,クロサイ,,29,7,0,12,5,,255,255,255
164,スザク,,60,5,0,12,5,,255,255,255
165,スプリングボック,,20,3,0,12,5,,255,255,255
166,タテゴトアザラシ,,19,5,0,12,5,,255,255,255
167,アマゾンツリーボア,,15,1,0,12,5,,255,255,255
168,ドールシープ,,18,5,0,12,5,,255,255,255
169,キュウビキツネ,,50,5,0,13,5,,255,255,255
170,ホンドテン,,7,2,0,12,5,,255,255,255
171,アフリカゾウ,,75,8,0,12,5,,255,255,255
172,アイアイ,,7,2,0,13,5,,255,255,255
173,ハシブトガラス,,7,1,0,12,5,,255,255,255
174,ヤタガラス,,30,3,0,13,5,,255,255,255
175,カモメ,,7,1,0,12,5,,255,255,255
176,キングペンギン,,10,3,0,12,5,,255,255,255
177,クロテン,,7,2,0,12,5,,255,255,255
178,ブラックバック,,15,3,0,12,5,,255,255,255
179,ヤマタノオロチ,,20,4,0,12,5,,255,255,255
180,オーストラリアデビル,,7,3,0,12,5,,255,255,255
181,ハヤブサ,,7,2,0,14,5,,255,255,255
182,チャップマンシマウマ,,25,5,0,13,5,,255,255,255
183,イヌガミギョウブ,,30,5,0,12,5,,255,255,255
184,エゾヒグマ,,23,5,0,13,5,,255,255,255
185,ヒメクビワカモメ,,7,1,0,12,5,,255,255,255
186,ウサギコウモリ,,7,3,0,12,5,,255,255,255
187,ダンザブロウダヌキ,,25,2,0,12,5,,255,255,255
188,アメリカレア,,15,3,0,13,5,,255,255,255
189,ピーチパンサー,,15,1,0,13,5,,255,255,255
190,コディアックヒグマ,,30,6,0,13,5,,255,255,255
191,シマリス,,7,1,0,12,5,,255,255,255
192,スカイフィッシュ,,10,1,0,18,5,,255,255,255
193,ライジュウ,,50,5,0,13,5,,255,255,255
194,シヴァテリウム,,22,7,0,12,5,,255,255,255
195,オオアリクイ,,12,3,0,12,5,,255,255,255
196,カムチャッカヒグマ,,40,6,0,13,5,,255,255,255
197,ヘビクイワシ,,15,2,0,13,5,,255,255,255
198,レッサーパンダ,,7,2,0,12,5,,255,255,255
199,ヤマバク,,18,5,0,12,5,,255,255,255
200,シビレ,,3,1,0,12,5,,255,255,255
201,ゾウリムシ,,5,2,0,12,5,,255,255,255
202,ミカヅキ,,5,1,0,13,5,,255,255,255
203,ボルボックス,,10,1,0,12,5,,255,255,255
204,トゲ,,8,2,0,12,5,,255,255,255
205,コーン,,9,1,0,12,5,,255,255,255
206,ネジ,,5,2,1,13,5,,255,255,255
207,ジャガイモ,,13,2,0,12,5,,255,255,255
208,ヘルメット,,6,1,1,12,5,,255,255,255
209,ファングセル,,25,4,1,13,5,,255,255,255
210,ティルセル,,18,3,0,14,5,,255,255,255
211,ハンターセル,,25,7,0,13,5,,255,255,255
212,アカガウ,,35,3,0,13,5,,255,255,255
213,ツノセル,,40,5,0,13,5,,255,255,255
214,ピッカリアン,,52,4,0,12,5,,255,255,255
215,トロッコ,,55,5,2,13,5,,255,255,255
216,バードリアン,,70,5,1,14,5,,255,255,255
217,クロガウ,,75,6,0,13,5,,255,255,255
218,セーバル,,40,3,1,13,5,,255,255,255
219,セルリアンの女王,,150,9,1,13,5,,255,255,255
